W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
0.68,0.724,0.608,0.758,0.771,0.753,0.921,0.829,0.891,0.986,1.001,0.842,1.096,1.137,0.99,1.083,1.15,1.277,1.108,1.409,1.365,1.633,1.771,1.852,2.183,2.282,1.333,1.118,0.876,0.845,0.93,0.76,0.827,0.786,0.698,0.787,0.883,0.913,0.802,0.73,0.816,0.766,0.891,0.786,0.914,0.822,0.841,0.737,0.908,0.709,0.633,0.787
0.735,0.907,0.687,0.907,0.799,0.901,1.021,0.769,0.92,1.046,0.928,0.942,1.002,1.01,1.009,1.13,1.03,0.926,1.001,1.16,1.181,1.478,1.365,1.641,1.707,1.685,1.266,1.195,1.061,0.875,0.915,0.879,0.897,0.95,0.856,1.009,1.06,1.064,1.066,0.929,0.955,0.949,1.094,0.838,0.629,0.774,0.713,0.787,0.874,0.604,0.827,1.043
0.649,0.65,0.65,0.737,0.731,0.67,0.894,0.678,0.863,0.824,0.894,0.898,0.914,1.076,0.917,0.941,1.016,0.976,1.137,1.313,1.737,1.888,1.762,1.929,2.445,2.059,1.307,1.089,1.036,0.914,0.819,0.663,0.804,0.864,0.709,0.844,0.947,0.84,0.951,0.823,0.821,0.873,1.075,0.879,0.892,0.981,0.932,0.727,0.821,0.674,0.577,0.892
0.722,0.692,0.573,0.759,0.775,0.716,0.653,0.699,0.789,0.771,0.786,0.857,1.045,0.934,0.849,0.848,0.991,1.006,1.229,1.325,1.498,1.865,1.856,1.935,2.384,2.738,1.494,1.415,0.945,0.834,0.904,0.91,0.657,0.773,0.754,0.786,0.924,0.927,0.886,0.766,0.762,0.925,1.083,0.907,0.881,0.873,0.799,0.7,0.802,0.591,0.58,0.827
0.698,0.775,0.674,0.713,0.84,0.871,0.888,0.953,0.895,1.058,1.188,1.067,1.106,1.173,1.021,1.057,1.003,1.12,1.385,1.317,1.445,1.407,1.653,1.905,1.9,2.435,1.537,1.39,1.03,0.994,0.945,1.016,0.827,0.914,0.807,0.81,0.849,1.005,0.858,0.819,0.017,0.006,0.009,0.971,0.862,1.034,0.938,0.873,0.915,0.622,0.674,0.732
0.515,0.738,0.57,0.615,0.648,0.67,0.722,0.76,0.757,0.894,0.85,0.8,0.901,0.902,0.988,0.825,0.882,1.142,1.257,1.466,1.452,1.576,1.811,1.778,2.18,2.253,4.006,2,1.177,0.731,0.851,0.815,0.63,0.762,0.739,0.703,0.742,0.724,0.838,0.767,0.658,0.743,0.828,0.787,0.764,0.878,0.819,0.764,0.64,0.533,0.488,0.66
0.956,0.87,0.917,0.949,0.99,0.955,0.938,1.013,0.785,0.915,0.934,0.755,0.928,1.076,1.216,0.975,0.991,1.029,0.986,1.09,1.207,1.275,1.157,1.172,1.372,1.255,0.996,0.847,0.961,1.065,1.055,0.934,0.905,0.901,0.723,0.733,1.082,0.942,0.986,0.785,0.939,1.068,1.247,1.089,1.2,1.16,0.957,0.945,0.957,0.91,0.735,1.174
0.617,0.605,0.603,0.661,0.745,0.535,0.671,0.771,0.592,0.807,0.814,0.823,0.82,1.029,0.784,0.99,1.164,1.021,1.246,1.779,1.764,1.97,1.915,2.332,2.481,2.491,1.5,1.057,1.024,0.839,0.873,0.71,0.827,0.695,0.746,0.664,0.887,0.799,0.805,0.746,0.782,0.846,1.026,1.085,0.817,0.993,0.9,0.793,0.632,0.553,0.641,0.731
0.704,0.648,0.695,0.774,0.693,0.709,0.808,0.881,0.812,0.889,1,0.941,0.969,1.151,1.003,1.188,1.202,1.124,1.232,1.309,1.31,1.734,1.701,1.691,1.976,2.051,1.5,1.155,1.052,0.815,0.833,0.67,0.842,0.681,0.681,0.857,0.982,0.892,0.789,0.701,0.861,0.827,1.014,0.888,0.951,1.043,0.965,0.775,0.81,0.645,0.757,0.816
0.716,0.659,0.473,0.716,0.768,0.808,0.656,0.582,0.742,0.741,0.844,0.761,0.795,0.97,0.682,0.806,0.728,0.845,1.032,1.129,1.354,2.552,1.926,2.27,2.217,2.439,1.635,1.245,0.928,0.975,0.902,0.852,0.862,0.767,0.822,0.823,0.891,0.991,1.028,0.864,0.888,0.938,1.393,1.006,0.824,0.935,0.821,0.794,0.795,0.579,0.552,0.676
0.905,0.864,0.867,0.83,1.01,0.891,0.877,0.952,0.903,0.941,0.898,0.896,0.914,1.055,0.969,0.982,0.954,1.071,1.071,1.025,1.271,1.159,1.304,1.499,2.149,1.306,1.157,1.178,1.259,2.066,1.033,0.919,0.838,0.78,0.79,0.845,0.864,0.84,0.738,0.871,0.796,0.767,0.011,0.864,1.177,0.966,0.97,0.857,1.024,0.938,0.867,1.02
0.83,0.873,0.691,0.7,0.829,0.906,0.878,0.752,0.899,0.851,0.725,0.801,0.865,0.987,0.828,0.881,0.828,0.988,1.001,1.156,1.46,1.505,1.508,1.478,1.604,1.624,1.136,1.344,1.159,1.017,0.94,0.847,0.88,1,0.611,0.72,0.962,1.002,0.86,0.84,0.885,1.005,1.209,1.055,1.367,1.154,1.095,0.992,0.8,0.855,0.99,0.828
0.673,0.882,0.779,0.828,0.823,0.848,0.883,0.718,0.721,0.841,0.702,0.79,0.878,0.76,0.819,0.767,0.748,1.027,1.002,1.102,1.131,1.172,1.24,1.319,1.428,1.167,0.856,0.971,0.805,0.747,0.691,0.833,0.556,1.37,1.459,1.556,1.494,1.355,1.189,1.339,1.241,1.166,1.317,1.267,1.3,1.103,1.143,0.993,0.874,0.672,0.79,0.865
0.891,0.889,0.954,0.948,1.053,1.029,0.953,0.88,0.946,1.043,0.791,0.945,0.973,1.105,1.001,0.903,0.974,0.984,1.214,1.076,1.179,1.138,1.219,1.157,1.222,1.251,1.138,1.07,0.948,1.075,0.978,0.823,0.933,0.868,0.785,0.905,1.011,0.957,0.942,0.981,0.839,0.869,1.116,1.063,1.099,1.198,0.963,0.982,0.952,0.949,0.864,0.972
0.871,1.144,0.939,0.793,0.895,0.82,0.898,0.846,0.764,0.959,0.792,0.727,0.998,0.888,1.277,1.004,0.704,0.955,1.059,1.121,1.323,1.135,1.16,1.368,2.018,1.373,1.021,1.159,0.818,1.01,0.802,1.057,0.925,0.996,1.015,1.101,0.934,0.839,0.822,1.044,0.936,1.094,1.083,0.953,1.021,0.886,1.181,0.851,0.955,0.92,0.731,1.015
0.835,0.82,0.686,0.735,0.869,0.789,0.928,0.885,0.822,0.999,1.026,0.858,1.034,1.08,0.813,0.83,0.967,1.051,1.158,1.134,1.286,1.621,1.759,1.628,1.825,2.53,1.51,1.247,1.129,0.966,0.883,0.99,0.81,0.794,0.764,0.769,0.817,0.785,0.879,0.818,0.923,0.945,1.179,0.784,0.805,0.739,0.843,0.702,0.807,0.726,0.61,0.806
0.727,0.759,0.832,0.716,0.716,0.925,0.988,0.938,0.828,0.921,0.88,0.936,0.973,1.118,0.855,0.896,0.913,0.896,1.169,1.108,1.479,1.416,1.519,1.619,1.785,1.928,1.478,1.278,1.13,0.954,1.015,0.804,0.952,0.751,0.899,0.906,0.978,0.893,1.062,0.77,0.822,0.942,1.083,0.911,0.987,0.947,0.922,0.69,0.801,0.676,0.71,0.796
0.728,0.765,0.735,0.731,0.724,0.7,0.734,0.778,0.697,0.84,0.762,0.663,0.878,0.807,0.765,0.856,0.764,0.893,0.995,1.033,0.997,1.201,1.409,1.318,1.523,5.135,2.679,1.31,1.174,1.413,1.005,0.884,0.794,0.692,0.65,0.72,0.78,0.738,0.767,0.831,0.792,0.79,0.995,0.949,0.995,0.956,0.803,0.759,0.714,0.714,0.736,0.928
0.558,0.691,0.645,0.585,0.756,0.811,0.763,0.925,0.83,0.948,0.939,0.883,0.989,0.973,1.055,0.993,0.925,0.812,1.459,1.97,2.157,1.927,2.469,2.613,2.707,1.699,0.894,1.039,1.086,0.751,0.951,0.766,0.922,0.713,0.867,0.707,0.739,0.823,0.768,0.574,0.783,0.731,0.863,0.611,0.697,0.785,0.735,0.512,0.622,0.708,0.611,0.662
0.71,0.661,0.665,0.736,0.762,0.735,0.755,0.78,0.887,0.975,0.896,0.809,1.009,1.022,0.905,0.988,1.029,1.047,1.159,1.234,1.583,1.641,1.804,2.075,2.107,2.792,1.328,1.134,0.94,0.866,0.818,0.814,0.751,0.781,0.817,0.758,0.904,0.786,0.913,0.775,0.784,0.821,1.024,0.839,0.896,0.855,0.834,0.76,0.835,0.741,0.674,0.785
